"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2025-06-12 11:47:06","BUY","NIFTY2561225050PE","MIS","1500/1500",51.4,"COMPLETE",""
"2025-06-12 11:46:06","SELL","NIFTY2561225050PE","MIS","1500/1500",49.8,"COMPLETE",""
"2025-06-12 11:46:02","BUY","NIFTY2561225050PE","MIS","1500/1500",50.2,"COMPLETE",""
"2025-06-12 11:44:38","SELL","SENSEX2561782200PE","MIS","400/400",427.46,"COMPLETE",""
"2025-06-12 11:44:35","BUY","SENSEX2561782200PE","MIS","400/400",425.64,"COMPLETE",""
"2025-06-12 11:43:03","SELL","SENSEX2561782200PE","MIS","400/400",437.55,"COMPLETE",""
"2025-06-12 11:43:02","SELL","SENSEX2561782200PE","MIS","0/400",460.8,"REJECTED",""
"2025-06-12 11:43:02","SELL","SENSEX2561782200PE","MIS","0/400",449,"REJECTED",""
"2025-06-12 11:43:01","BUY","SENSEX2561782200PE","MIS","400/400",440.86,"COMPLETE",""
"2025-06-12 11:41:10","SELL","NIFTY2561225050PE","MIS","1500/1500",65.6,"COMPLETE",""
"2025-06-12 11:41:02","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:41:02","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:41:02","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:41:02","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:41:02","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:41:01","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:40:52","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:40:52","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:40:51","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:40:40","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:40:40","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:40:27","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:40:26","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:40:26","SELL","NIFTY2561225050PE","MIS","0/1500",86.8,"REJECTED",""
"2025-06-12 11:40:12","BUY","NIFTY2561225050PE","MIS","1500/1500",66.87,"COMPLETE",""
"2025-06-12 11:39:56","SELL","SENSEX2561782200PE","MIS","400/400",441.35,"COMPLETE",""
"2025-06-12 11:39:55","BUY","SENSEX2561782200PE","MIS","400/400",443.28,"COMPLETE",""
"2025-06-12 11:39:12","SELL","NIFTY2561225050PE","MIS","1500/1500",66.02,"COMPLETE",""
"2025-06-12 11:39:11","BUY","NIFTY2561225050PE","MIS","1500/1500",64.9,"COMPLETE",""
"2025-06-12 11:38:09","SELL","NIFTY2561225050PE","MIS","1500/1500",50,"COMPLETE",""
"2025-06-12 11:38:03","BUY","NIFTY2561225050PE","MIS","1500/1500",48.99,"COMPLETE",""
"2025-06-12 11:36:03","SELL","NIFTY2561225050PE","MIS","1500/1500",44,"COMPLETE",""
"2025-06-12 11:36:02","BUY","NIFTY2561225050PE","MIS","1500/1500",43.37,"COMPLETE",""
"2025-06-12 11:33:34","SELL","NIFTY2561225050PE","MIS","1500/1500",40.95,"COMPLETE",""
"2025-06-12 11:33:30","BUY","NIFTY2561225050PE","MIS","1500/1500",41.56,"COMPLETE",""
"2025-06-12 11:03:39","SELL","NIFTY2561225050PE","MIS","1500/1500",51.85,"COMPLETE",""
"2025-06-12 11:03:37","BUY","NIFTY2561225050PE","MIS","1500/1500",52.45,"COMPLETE",""
"2025-06-12 10:59:02","SELL","NIFTY2561225050PE","MIS","1500/1500",55.79,"COMPLETE",""
"2025-06-12 10:59:02","SELL","NIFTY2561225100PE","MIS","1500/1500",89.65,"COMPLETE",""
"2025-06-12 10:59:02","BUY","NIFTY2561225100PE","MIS","1500/1500",88.38,"COMPLETE",""
"2025-06-12 10:59:02","BUY","NIFTY2561225050PE","MIS","1500/1500",54.65,"COMPLETE",""
"2025-06-12 10:27:47","SELL","NIFTY2561225050PE","NRML","150/150",26.3,"COMPLETE",""
"2025-06-12 10:12:32","BUY","NIFTY2561225050PE","NRML","75/75",36.1,"COMPLETE",""
